method,seed,objective,relative_l2,relative_energy,relative_residual,training_seconds,evaluation_refinement_relative_gap,objective_refinement_absolute_gap
strong,0,0.0012663285535521205,0.019751635675897584,0.01988073360007045,0.035585510443867735,9.174678960994697,2.5348974800595676e-15,1.5599500857721438e-15
strong,1,0.00026108358361211063,0.0021770634551209595,0.004201416736641296,0.01615807692747887,7.390319622997595,1.4244709266580506e-14,1.3361779277422034e-10
strong,2,0.0006020141472929975,0.004368760321788024,0.007093466269053329,0.02453597659140977,7.207799849999901,1.3328100234041795e-14,1.1280039402539188e-15
weak-2,0,9.345083464618138e-34,0.10351647091932589,0.6288344290848704,0.9897551218923337,4.914565529988067,2.413144288268269e-15,1.4637037369627154e-28
weak-2,1,2.088732779770752e-34,0.10192698368043271,0.626912791121326,0.9885790476427103,5.994950492983662,2.4507757565341814e-15,1.350884818320637e-28
weak-2,2,3.751630781014722e-34,0.10156269452254944,0.6271443693908999,0.9895209442298587,5.659439549009221,2.5962088696842413e-15,1.4518503228188014e-28
weak-4,0,1.6886790125898206e-21,0.09957685786265003,0.6251532589092343,0.9887376014398489,5.0320174930002395,2.6479844213619854e-15,1.4359771216019858e-25
weak-4,1,3.8037224356227e-23,0.0994472576356498,0.6243385151013723,0.9874518105341867,5.464826168986747,2.5118860638255685e-15,1.972836293906982e-26
weak-4,2,5.30494422950363e-18,0.09950924462628036,0.6247285027165023,0.9880684822893857,5.296989620977911,2.6497836390854956e-15,5.556413946667353e-24
weak-8,0,3.297843395750977e-12,0.15513470080622602,1.1869824400401563,2.8483661938984044,4.843331580017548,6.921459075627332e-15,5.303630841512388e-15
weak-8,1,2.3942427080286144e-13,0.12939378658085368,1.0067551534425137,2.6909687764537464,6.1256140590012365,5.954977545906559e-15,1.356606144632684e-13
weak-8,2,2.4385074097893186e-08,0.16376179975428998,1.2324857658705075,2.7690144643652372,5.010463625015291,5.9452791792290324e-15,2.8304181097652134e-13
weak-16,0,1.0022394925543093e-23,0.00454593812571941,0.07899809903805309,0.36382693907932045,4.4142683270129055,7.02689709084249e-15,6.929937708198148e-24
weak-16,1,4.8114032543313595e-18,0.004006390883937177,0.06352788145462303,0.28138979317159785,4.451145493993863,8.08827205432296e-15,9.552746041642238e-23
weak-16,2,5.623613022816275e-22,0.003884748317568238,0.06681928170015519,0.3056889489961933,4.398152410025432,8.515345954685354e-15,1.6733500008949262e-24
weak-32,0,0.0001090052393214168,0.0005958818786333525,0.012688323106506983,0.08819624544899222,4.290819575982823,4.106867134082534e-14,3.949003125371109e-15
weak-32,1,0.00021216271109346979,0.000844853416899951,0.01619737525003044,0.09814626890090923,4.488391753005089,3.761214357119905e-14,2.242672193786266e-16
weak-32,2,0.00010181388508440768,0.0005204702375673547,0.01204641093983666,0.08665289382395029,4.701248256996223,4.019859679283464e-14,1.1702471673993853e-15
raw-16,0,0.015270895796586139,0.1890629615970652,0.5621190942640798,2.1168265102024133,4.690511526000591,4.937668173675251e-15,2.1990717741574017e-08
raw-16,1,0.015555339511379227,0.1882923500260337,0.5326376085734328,1.949654029201494,4.684233529985249,5.419406774066463e-15,1.2322427935668179e-08
raw-16,2,3.768285645314272e-06,0.0207740586692675,0.32711519401463196,1.4111282794411382,4.819554108991724,2.202935420004184e-15,4.360483936411254e-10
